Threads, Array Size, Test, Time
2, 200000000, testGatherMediumFilter,   16.340
2, 200000000, testScatterMediumFilter,   16.420
Test Time:	  98.277 seconds
4, 200000000, testGatherMediumFilter,   10.337
4, 200000000, testScatterMediumFilter,   13.877
Test Time:	  72.644 seconds
8, 200000000, testGatherMediumFilter,   11.740
8, 200000000, testScatterMediumFilter,   14.823
Test Time:	  79.690 seconds
16, 200000000, testGatherMediumFilter,    9.994
16, 200000000, testScatterMediumFilter,   13.727
Test Time:	  71.164 seconds
32, 200000000, testGatherMediumFilter,    9.275
32, 200000000, testScatterMediumFilter,   12.622
Test Time:	  65.692 seconds
64, 200000000, testGatherMediumFilter,    7.939
64, 200000000, testScatterMediumFilter,   11.087
Test Time:	  57.079 seconds
128, 200000000, testGatherMediumFilter,    7.183
128, 200000000, testScatterMediumFilter,    9.643
Test Time:	  50.479 seconds
