Threads, Array Size, Test, Time
1, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.125
1, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.557
1, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.439
2, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.124
2, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.536
2, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.351
4, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.123
4, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.537
4, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.384
8, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.124
8, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.541
8, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.425
16, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.127
16, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.543
16, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.371
32, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.123
32, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.537
32, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.348
64, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.123
64, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.535
64, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.414
128, 500, testPipelineHeavyWorkersSmallNumberOfStations,    0.123
128, 500, testPipelineHeavyWorkersMediumNumberOfStations,    4.544
128, 500, testPipelineHeavyWorkersLargeNumberOfStations,   45.434
