Threads, Array Size, Test, Time
1, 1000000, testScanHeavyWorker,    7.881
Test Time:	  23.643 seconds
2, 1000000, testScanHeavyWorker,    4.500
Test Time:	  13.500 seconds
4, 1000000, testScanHeavyWorker,    3.788
Test Time:	  11.364 seconds
8, 1000000, testScanHeavyWorker,    5.846
Test Time:	  17.538 seconds
16, 1000000, testScanHeavyWorker,    5.471
Test Time:	  16.414 seconds
32, 1000000, testScanHeavyWorker,    4.826
Test Time:	  14.479 seconds
64, 1000000, testScanHeavyWorker,    4.415
Test Time:	  13.244 seconds
128, 1000000, testScanHeavyWorker,    4.139
Test Time:	  12.417 seconds
