Threads, Array Size, Test, Time
1, 2000, testPipelineLightWorkersSmallNumberOfStations,    0.000
1, 2000, testPipelineLightWorkersMediumNumberOfStations,    0.006
1, 2000, testPipelineLightWorkersLargeNumberOfStations,    0.119
1, 2000, testPipelineMediumWorkersSmallNumberOfStations,    0.020
1, 2000, testPipelineMediumWorkersMediumNumberOfStations,    0.776
1, 2000, testPipelineMediumWorkersLargeNumberOfStations,    6.094
1, 2000, testPipelineHeavyWorkersSmallNumberOfStations,    0.047
1, 2000, testPipelineHeavyWorkersMediumNumberOfStations,    1.748
1, 2000, testPipelineHeavyWorkersLargeNumberOfStations,   21.486
Test Time:	  90.888 seconds
