Threads, Array Size, Test, Time
2, 100000, testFarmLightWorkerSmallNumberOfWorkers,    1.459
2, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.222
2, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.235
2, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.832
2, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.841
2, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.779
Test Time:	  13.105 seconds
4, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.590
4, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.659
4, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.439
4, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.881
4, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.845
4, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.919
Test Time:	  13.001 seconds
8, 100000, testFarmLightWorkerSmallNumberOfWorkers,    1.213
8, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.617
8, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.410
8, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.140
8, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    1.098
8, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    1.038
Test Time:	  16.551 seconds
16, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.870
16, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.671
16, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.833
16, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.476
16, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    2.435
16, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    1.693
Test Time:	  23.933 seconds
32, 100000, testFarmLightWorkerSmallNumberOfWorkers,    1.747
32, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.959
32, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.930
32, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.144
32, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    1.052
32, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.845
Test Time:	  20.030 seconds
64, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.958
64, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.927
64, 100000, testFarmLightWorkerLargeNumberOfWorkers,    1.323
64, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.593
64, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    2.310
64, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    1.014
Test Time:	  24.375 seconds
128, 100000, testFarmLightWorkerSmallNumberOfWorkers,    1.610
128, 100000, testFarmLightWorkerMediumNumberOfWorkers,    1.236
128, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.817
128, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.127
128, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    1.156
128, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    1.300
Test Time:	  21.738 seconds
