Threads, Array Size, Test, Time
1, 1000000, testScanHeavyWorker,    9.881
Test Time:	  29.642 seconds
2, 1000000, testScanHeavyWorker,    5.449
Test Time:	  16.346 seconds
4, 1000000, testScanHeavyWorker,    6.749
Test Time:	  20.247 seconds
8, 1000000, testScanHeavyWorker,    6.636
Test Time:	  19.909 seconds
16, 1000000, testScanHeavyWorker,    6.074
Test Time:	  18.221 seconds
32, 1000000, testScanHeavyWorker,    5.156
Test Time:	  15.469 seconds
64, 1000000, testScanHeavyWorker,    4.715
Test Time:	  14.146 seconds
128, 1000000, testScanHeavyWorker,    4.281
Test Time:	  12.843 seconds
