Threads, Array Size, Test, Time
2, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.232
2, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.325
2, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.268
2, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.658
2, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.652
2, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.575
4, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.379
4, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.388
4, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.363
4, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.452
4, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.299
4, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.250
8, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.763
8, 100000, testFarmLightWorkerMediumNumberOfWorkers,    1.086
8, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.925
8, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.867
8, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.889
8, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.937
16, 100000, testFarmLightWorkerSmallNumberOfWorkers,    2.240
16, 100000, testFarmLightWorkerMediumNumberOfWorkers,    2.434
16, 100000, testFarmLightWorkerLargeNumberOfWorkers,    2.484
16, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    2.560
16, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    2.554
16, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    2.552
32, 100000, testFarmLightWorkerSmallNumberOfWorkers,    8.528
32, 100000, testFarmLightWorkerMediumNumberOfWorkers,    8.363
32, 100000, testFarmLightWorkerLargeNumberOfWorkers,   10.701
32, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,   10.705
32, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,   10.717
32, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,   10.802
64, 100000, testFarmLightWorkerSmallNumberOfWorkers,   14.937
64, 100000, testFarmLightWorkerMediumNumberOfWorkers,   21.293
64, 100000, testFarmLightWorkerLargeNumberOfWorkers,   21.617
64, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,   21.494
64, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,   21.219
64, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,   21.417
128, 100000, testFarmLightWorkerSmallNumberOfWorkers,    0.575
128, 100000, testFarmLightWorkerMediumNumberOfWorkers,    0.822
128, 100000, testFarmLightWorkerLargeNumberOfWorkers,    0.722
128, 100000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.997
128, 100000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.877
128, 100000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.754
